Longitud de onda (nm),Intensidad (W/cm^2)
"470nm
","79.08
"
"470nm
","0.00
"
"470nm
","0.06
"
"470nm
","0.20
"
"470nm
","0.00
"
"470nm
","0.12
"
"470nm
","0.11
"
"470nm
","0.00
"
"470nm
","0.18
"
"470nm
","0.08
"
"470nm
","0.00
"
"470nm
","0.27
"
"470nm
","0.05
"
"470nm
","0.00
"
"470nm
","0.35
"
"470nm
","0.02
"
"470nm
","0.00
"
"470nm
","0.41
"
"470nm
","0.01
"
