Longitud de onda (nm),Intensidad (W/cm^2)
"470nm
","0.45
"
"470nm
","0.04
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
"470nm
","0.00
"
